path,N,method,duration,objective,fairness,min,max,mean,std
../instances/1000/test/instance43_nreq1000_nveh20_gamma858.txt,1000,GA,99640.6,103266,jain,0,89,42.9,42.9564
../instances/1000/test/instance58_nreq1000_nveh20_gamma923.txt,1000,DC ,29.6795,126140,jain,0,99,46.15,46.348
../instances/1000/test/instance58_nreq1000_nveh20_gamma923.txt,1000,RC,31.9333,129726,jain,0,99,46.15,46.348
../instances/1000/test/instance58_nreq1000_nveh20_gamma923.txt,1000,BS,152.847,122170,jain,46,47,46.15,0.366348
../instances/1000/test/instance58_nreq1000_nveh20_gamma923.txt,1000,GA,104620,117969,jain,0,99,46.15,46.348
../instances/1000/test/instance37_nreq1000_nveh20_gamma887.txt,1000,DC ,28.6846,118995,jain,0,95,44.35,44.3435
../instances/1000/test/instance37_nreq1000_nveh20_gamma887.txt,1000,RC,30.8482,118461,jain,0,95,44.35,44.3435
../instances/1000/test/instance37_nreq1000_nveh20_gamma887.txt,1000,BS,150.864,111314,jain,44,45,44.35,0.48936
../instances/1000/test/instance37_nreq1000_nveh20_gamma887.txt,1000,GA,113565,106652,jain,0,84,44.35,27.4845
../instances/1000/test/instance44_nreq1000_nveh20_gamma854.txt,1000,DC ,44.7054,113626,jain,0,89,42.7,42.6208
../instances/1000/test/instance44_nreq1000_nveh20_gamma854.txt,1000,RC,47.2961,114198,jain,0,89,42.7,42.6208
../instances/1000/test/instance44_nreq1000_nveh20_gamma854.txt,1000,BS,214.962,105996,jain,42,43,42.7,0.470162
../instances/1000/test/instance44_nreq1000_nveh20_gamma854.txt,1000,GA,130816,102371,jain,0,93,42.7,36.439
../instances/1000/test/instance50_nreq1000_nveh20_gamma918.txt,1000,DC ,47.9609,124214,jain,0,93,45.9,45.9942
../instances/1000/test/instance50_nreq1000_nveh20_gamma918.txt,1000,RC,50.8693,126664,jain,0,93,45.9,45.9942
../instances/1000/test/instance50_nreq1000_nveh20_gamma918.txt,1000,BS,251.86,117923,jain,45,46,45.9,0.307794
../instances/1000/test/instance50_nreq1000_nveh20_gamma918.txt,1000,GA,131345,113881,jain,0,93,45.9,31.6559
../instances/1000/test/instance43_nreq1000_nveh20_gamma858.txt,1000,DC ,27.8784,117533,maxmin,0,89,42.9,42.9564
../instances/1000/test/instance43_nreq1000_nveh20_gamma858.txt,1000,RC,29.8536,120193,maxmin,0,89,42.9,42.9564
../instances/1000/test/instance43_nreq1000_nveh20_gamma858.txt,1000,BS,145.561,105352,maxmin,42,43,42.9,0.307794
../instances/1000/test/instance43_nreq1000_nveh20_gamma858.txt,1000,GA,82509.3,106284,maxmin,0,89,42.9,42.9564
../instances/1000/test/instance37_nreq1000_nveh20_gamma887.txt,1000,DC ,28.6096,122464,maxmin,0,95,44.35,44.3435
../instances/1000/test/instance37_nreq1000_nveh20_gamma887.txt,1000,RC,30.6446,122058,maxmin,0,95,44.35,44.3435
../instances/1000/test/instance37_nreq1000_nveh20_gamma887.txt,1000,BS,149.157,112703,maxmin,44,45,44.35,0.48936
../instances/1000/test/instance37_nreq1000_nveh20_gamma887.txt,1000,GA,88753.4,107886,maxmin,42,47,44.35,1.49649
../instances/1000/test/instance50_nreq1000_nveh20_gamma918.txt,1000,DC ,47.9592,127189,maxmin,0,93,45.9,45.9942
