path,N,k,bw1,bw2,duration,objective
"../instances/500/train/instance9_nreq500_nveh10_gamma438.txt",500,6,5,5,165265,34528.7
"../instances/500/train/instance9_nreq500_nveh10_gamma438.txt",500,6,10,10,217074,39083.9
"../instances/500/train/instance9_nreq500_nveh10_gamma438.txt",500,2,10,5,219523,37664.1
"../instances/500/train/instance9_nreq500_nveh10_gamma438.txt",500,6,10,5,221548,36716.8
"../instances/500/train/instance9_nreq500_nveh10_gamma438.txt",500,2,5,10,228660,38699.2
"../instances/500/train/instance9_nreq500_nveh10_gamma438.txt",500,6,5,10,230195,38844.1
"../instances/500/train/instance9_nreq500_nveh10_gamma438.txt",500,4,5,10,230530,37985.3
"../instances/500/train/instance9_nreq500_nveh10_gamma438.txt",500,4,10,5,237759,37193.8
"../instances/500/train/instance9_nreq500_nveh10_gamma438.txt",500,2,10,10,272198,38955.4
"../instances/500/train/instance9_nreq500_nveh10_gamma438.txt",500,4,10,10,284457,39023.7
"../instances/1000/train/instance18_nreq1000_nveh20_gamma913.txt",1000,4,5,5,290254,96774.5
"../instances/1000/train/instance18_nreq1000_nveh20_gamma913.txt",1000,2,5,5,336116,96335.7
"../instances/1000/train/instance18_nreq1000_nveh20_gamma913.txt",1000,4,5,10,448917,107971
"../instances/1000/train/instance18_nreq1000_nveh20_gamma913.txt",1000,6,5,5,455435,97665.4
"../instances/1000/train/instance18_nreq1000_nveh20_gamma913.txt",1000,6,10,5,538219,103620
"../instances/1000/train/instance18_nreq1000_nveh20_gamma913.txt",1000,2,10,5,571067,105868
"../instances/1000/train/instance18_nreq1000_nveh20_gamma913.txt",1000,6,5,10,605466,107183
"../instances/1000/train/instance18_nreq1000_nveh20_gamma913.txt",1000,2,5,10,610330,107787
"../instances/1000/train/instance18_nreq1000_nveh20_gamma913.txt",1000,4,10,5,650053,103883
"../instances/1000/train/instance18_nreq1000_nveh20_gamma913.txt",1000,2,10,10,688470,110073
"../instances/1000/train/instance18_nreq1000_nveh20_gamma913.txt",1000,4,10,10,790610,108630
"../instances/1000/train/instance18_nreq1000_nveh20_gamma913.txt",1000,6,10,10,806349,111332
"../instances/1000/train/instance30_nreq1000_nveh20_gamma881.txt",1000,2,5,5,340520,92275.7
"../instances/1000/train/instance30_nreq1000_nveh20_gamma881.txt",1000,4,5,5,374636,91089
"../instances/1000/train/instance30_nreq1000_nveh20_gamma881.txt",1000,2,10,5,459133,99464.6
"../instances/1000/train/instance30_nreq1000_nveh20_gamma881.txt",1000,6,5,5,505669,90718
"../instances/1000/train/instance30_nreq1000_nveh20_gamma881.txt",1000,4,5,10,563422,99438.2
"../instances/1000/train/instance30_nreq1000_nveh20_gamma881.txt",1000,6,10,5,614491,96450.2
"../instances/1000/train/instance30_nreq1000_nveh20_gamma881.txt",1000,4,10,5,627498,97748.7
"../instances/1000/train/instance30_nreq1000_nveh20_gamma881.txt",1000,6,5,10,644272,100874
"../instances/1000/train/instance30_nreq1000_nveh20_gamma881.txt",1000,2,5,10,711632,99559.1
"../instances/1000/train/instance30_nreq1000_nveh20_gamma881.txt",1000,4,10,10,757343,103761
"../instances/1000/train/instance30_nreq1000_nveh20_gamma881.txt",1000,6,10,10,798110,103799
"../instances/1000/train/instance30_nreq1000_nveh20_gamma881.txt",1000,2,10,10,834859,102722
"../instances/1000/train/instance28_nreq1000_nveh20_gamma919.txt",1000,2,5,5,295211,99460.4
"../instances/1000/train/instance28_nreq1000_nveh20_gamma919.txt",1000,4,5,5,296347,97953.1
