path,N,method,duration,objective
"../instances/100/test/instance56_nreq100_nveh2_gamma89.txt",100,SA,1.00133,3765
"../instances/100/test/instance56_nreq100_nveh2_gamma89.txt",100,LN,43011.5,3174.64
"../instances/100/test/instance56_nreq100_nveh2_gamma89.txt",100,GA,8378.65,3214
"../instances/100/test/instance36_nreq100_nveh2_gamma90.txt",100,DC,0.933326,4129.48
"../instances/100/test/instance36_nreq100_nveh2_gamma90.txt",100,RC,1.16891,4129.83
"../instances/100/test/instance36_nreq100_nveh2_gamma90.txt",100,BS,10.5281,3732.99
"../instances/100/test/instance36_nreq100_nveh2_gamma90.txt",100,VND,61.2166,2718
"../instances/100/test/instance36_nreq100_nveh2_gamma90.txt",100,SA,0.079038,4128.03
"../instances/100/test/instance36_nreq100_nveh2_gamma90.txt",100,LN,42967.3,3387.15
"../instances/100/test/instance36_nreq100_nveh2_gamma90.txt",100,GA,9968.13,3328.51
"../instances/100/test/instance59_nreq100_nveh2_gamma96.txt",100,DC,0.996266,4374.61
"../instances/100/test/instance59_nreq100_nveh2_gamma96.txt",100,RC,1.21372,4629.48
"../instances/100/test/instance59_nreq100_nveh2_gamma96.txt",100,BS,11.4878,4341.71
"../instances/100/test/instance59_nreq100_nveh2_gamma96.txt",100,VND,67.0513,3239.77
"../instances/100/test/instance59_nreq100_nveh2_gamma96.txt",100,SA,1.01106,4374.61
"../instances/100/test/instance59_nreq100_nveh2_gamma96.txt",100,LN,41033.9,3769.41
"../instances/100/test/instance59_nreq100_nveh2_gamma96.txt",100,GA,8445.61,3760.41
"../instances/100/test/instance50_nreq100_nveh2_gamma91.txt",100,DC,0.936047,3983.92
"../instances/100/test/instance50_nreq100_nveh2_gamma91.txt",100,RC,1.16955,4468.27
"../instances/100/test/instance50_nreq100_nveh2_gamma91.txt",100,BS,9.83295,4125.5
"../instances/100/test/instance50_nreq100_nveh2_gamma91.txt",100,VND,85.0029,2700.84
"../instances/100/test/instance50_nreq100_nveh2_gamma91.txt",100,SA,0.01307,3980.05
"../instances/100/test/instance50_nreq100_nveh2_gamma91.txt",100,LN,38294.3,3552.81
"../instances/100/test/instance50_nreq100_nveh2_gamma91.txt",100,GA,11104.9,3553.96
"../instances/200/test/instance38_nreq200_nveh4_gamma164.txt",200,DC,2.51286,10579.1
"../instances/200/test/instance38_nreq200_nveh4_gamma164.txt",200,RC,2.92853,10622.9
"../instances/200/test/instance38_nreq200_nveh4_gamma164.txt",200,BS,18.9533,10035
"../instances/200/test/instance38_nreq200_nveh4_gamma164.txt",200,VND,270.906,6546.18
"../instances/200/test/instance38_nreq200_nveh4_gamma164.txt",200,SA,0.035979,10520.5
"../instances/200/test/instance38_nreq200_nveh4_gamma164.txt",200,LN,69136.5,8023.81
"../instances/200/test/instance38_nreq200_nveh4_gamma164.txt",200,GA,19671.6,8845.77
"../instances/200/test/instance56_nreq200_nveh4_gamma171.txt",200,DC,2.21915,9685.82
"../instances/200/test/instance56_nreq200_nveh4_gamma171.txt",200,RC,2.60044,9948.73
"../instances/200/test/instance56_nreq200_nveh4_gamma171.txt",200,BS,21.2604,9993.74
"../instances/200/test/instance56_nreq200_nveh4_gamma171.txt",200,VND,217.327,6414.87
"../instances/200/test/instance56_nreq200_nveh4_gamma171.txt",200,SA,1.0226,9685.82
"../instances/200/test/instance56_nreq200_nveh4_gamma171.txt",200,LN,82540.5,7921.64
"../instances/200/test/instance56_nreq200_nveh4_gamma171.txt",200,GA,26527.5,8595.56
"../instances/200/test/instance60_nreq200_nveh4_gamma178.txt",200,DC,2.1347,11584.2
"../instances/200/test/instance60_nreq200_nveh4_gamma178.txt",200,RC,2.78288,11642.4
"../instances/200/test/instance60_nreq200_nveh4_gamma178.txt",200,BS,22.1203,10994.8
"../instances/200/test/instance60_nreq200_nveh4_gamma178.txt",200,VND,253.402,7708.22
"../instances/200/test/instance60_nreq200_nveh4_gamma178.txt",200,SA,0.250737,11467.6
"../instances/200/test/instance60_nreq200_nveh4_gamma178.txt",200,LN,87251.8,9309.13
"../instances/200/test/instance60_nreq200_nveh4_gamma178.txt",200,GA,25152.5,9830.05
"../instances/200/test/instance57_nreq200_nveh4_gamma172.txt",200,DC,2.6523,10494.2
"../instances/200/test/instance57_nreq200_nveh4_gamma172.txt",200,RC,2.94367,10953.7
"../instances/200/test/instance57_nreq200_nveh4_gamma172.txt",200,BS,20.4707,9927.1
