path,N,T,iters,alpha,objective
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance49_nreq100_nveh2_gamma87.txt,100,10,100,0.95,3094.99
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance49_nreq100_nveh2_gamma87.txt,100,10,100,0.97,3010.83
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance49_nreq100_nveh2_gamma87.txt,100,10,100,0.99,2969.75
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance49_nreq100_nveh2_gamma87.txt,100,50,100,0.95,3195.16
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance49_nreq100_nveh2_gamma87.txt,100,50,100,0.97,3094.99
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance49_nreq100_nveh2_gamma87.txt,100,50,100,0.99,3136.06
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance49_nreq100_nveh2_gamma87.txt,100,100,100,0.95,3032.87
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance49_nreq100_nveh2_gamma87.txt,100,100,100,0.97,3090.98
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance49_nreq100_nveh2_gamma87.txt,100,100,100,0.99,3096.99
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance34_nreq200_nveh4_gamma184.txt,200,10,100,0.95,10123.1
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance34_nreq200_nveh4_gamma184.txt,200,10,100,0.97,10207.5
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance34_nreq200_nveh4_gamma184.txt,200,10,100,0.99,11545.1
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance34_nreq200_nveh4_gamma184.txt,200,50,100,0.95,9960.38
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance34_nreq200_nveh4_gamma184.txt,200,50,100,0.97,10173.6
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance34_nreq200_nveh4_gamma184.txt,200,50,100,0.99,10114.3
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance34_nreq200_nveh4_gamma184.txt,200,100,100,0.95,10169.8
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance34_nreq200_nveh4_gamma184.txt,200,100,100,0.97,11545.1
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance34_nreq200_nveh4_gamma184.txt,200,100,100,0.99,11542.2
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance45_nreq200_nveh4_gamma180.txt,200,10,100,0.95,9561.01
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance45_nreq200_nveh4_gamma180.txt,200,10,100,0.97,9541.2
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance45_nreq200_nveh4_gamma180.txt,200,10,100,0.99,9499.82
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance45_nreq200_nveh4_gamma180.txt,200,50,100,0.95,10867.5
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance45_nreq200_nveh4_gamma180.txt,200,50,100,0.97,9530.16
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance45_nreq200_nveh4_gamma180.txt,200,50,100,0.99,9390
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance45_nreq200_nveh4_gamma180.txt,200,100,100,0.95,9313.83
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance45_nreq200_nveh4_gamma180.txt,200,100,100,0.97,9540.95
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance45_nreq200_nveh4_gamma180.txt,200,100,100,0.99,9328
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance58_nreq200_nveh4_gamma187.txt,200,10,100,0.95,10220.8
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance58_nreq200_nveh4_gamma187.txt,200,10,100,0.97,11757.3
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance58_nreq200_nveh4_gamma187.txt,200,10,100,0.99,10008.1
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance58_nreq200_nveh4_gamma187.txt,200,50,100,0.95,10335.9
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance58_nreq200_nveh4_gamma187.txt,200,50,100,0.97,10187.1
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance58_nreq200_nveh4_gamma187.txt,200,50,100,0.99,10266.3
